no;dapil;partai;nama;jk;lokasi
2440;cirebon;PKS;AHMAD AZRUL ZUNIARTO, S.Si., Apt, M.Farm.;Laki-Laki;KOTA CIREBON
2442;cirebon;PKS;PRIYO SUPONO, S.Sos;Laki-Laki;CIREBON
2443;cirebon;PKS;JULIE PUSPHA ANGGRAENI, SP.;Perempuan;CIREBON
2444;cirebon;PKS;ERNIWATI;Perempuan;CIREBON
2445;cirebon;PKS;HJ. SRI UMI MAZIAH;Perempuan;INDRAMAYU
2447;cirebon;PKS;CECEP SYARIEF ARIFIEN, SE, M.Ag;Laki-Laki;CIREBON
2448;cirebon;PKS;DARWINAH, S.Pd;Perempuan;INDRAMAYU
2449;cirebon;PKS;IBNU RIVAI, SE;Laki-Laki;CIREBON
2461;cirebon;PARTAI NASDEM;H. ERYANI SULAM, M.Si;Laki-Laki;INDRAMAYU
2462;cirebon;PARTAI NASDEM;H. YUYUN WAHYU KURNIA, SE, MM, MBA;Laki-Laki;KOTA CIREBON
2463;cirebon;PARTAI NASDEM;OTIH HANDAYANI, SE, SH, MH;Perempuan;JAKARTA SELATAN
2464;cirebon;PARTAI NASDEM;AGUS SUPRIYADI;Laki-Laki;CIREBON
2465;cirebon;PARTAI NASDEM;RITA HASAN;Perempuan;JAKARTA SELATAN
2466;cirebon;PARTAI NASDEM;SUKARYADI, SE;Laki-Laki;CIREBON
2467;cirebon;PARTAI NASDEM;Drs. H. ACHMAD DHARSONO;Laki-Laki;KOTA CIREBON
2468;cirebon;PARTAI NASDEM;HILMAN MAJID;Laki-Laki;KOTA BANDUNG
2469;cirebon;PARTAI NASDEM;ENI SAENI, S.I.kom;Perempuan;KOTA TANGERANG SELATAN
2470;cirebon;PARTAI NASDEM;Drs. DJAENUDIN, M.H;Laki-Laki;INDRAMAYU
2471;cirebon;PARTAI NASDEM;ROSELY AYUMIN;Perempuan;INDRAMAYU
2472;cirebon;PARTAI NASDEM;ABDURRAHMAN AL-MUHALLI, MA;Laki-Laki;INDRAMAYU
2473;cirebon;PPP;H.TATANG ASRAMUL HAKIN, S.Sos.,MBA;Laki-Laki;MAJALENGKA
2474;cirebon;PPP;SALSA WIRABUANA DEWI, S.H.;Perempuan;SIDOARJO
2475;cirebon;PPP;Drs. H.FATCHURROHMAN;Laki-Laki;CIREBON
2476;cirebon;PSI;DIPL- ING.. ABDUROHMAN KHASBULLAH;Laki-Laki;KOTA BANDUNG
2477;cirebon;PSI;YULIA KUSUMAWARDHANI;Perempuan;JAKARTA SELATAN
2478;cirebon;PSI;ANDRI MARTIN;Laki-Laki;KOTA TASIKMALAYA
2479;cirebon;PSI;RANI NURLATIFAH, S.Pd;Perempuan;CIREBON
2480;cirebon;PSI;JUNI HARTO, S.KH;Laki-Laki;INDRAMAYU
2481;cirebon;PSI;HANNA ANITA MARCOLINA;Perempuan;JAKARTA SELATAN
2482;cirebon;PSI;ARIS MULANTO;Laki-Laki;CIREBON
2483;cirebon;PERINDO;HUSIN, SE.;Laki-Laki;PURWAKARTA
2484;cirebon;PERINDO;YUNU HERDIANA;Laki-Laki;KOTA BANDUNG
2486;cirebon;PERINDO;ERMANSYAH, S.Pd., MM.;Laki-Laki;KOTA BANDUNG
2487;cirebon;PERINDO;FIFI SOFIA WIGANDANI;Perempuan;KOTA SUKABUMI
2494;cirebon;PERINDO;AGUS SULISTIJONO, SH.;Laki-Laki;INDRAMAYU
2496;cirebon;PERINDO;Drs.. SUNARTO, M.Si.;Laki-Laki;INDRAMAYU
2502;cirebon;PAN;ANDRI W. KUSUMA, SH, MH;Laki-Laki;JAKARTA TIMUR
2504;cirebon;PAN;ARIE PRASETYA;Laki-Laki;KOTA BOGOR
2509;cirebon;PARTAI BERKARYA;TATY SUHARTATY;Perempuan;JAKARTA TIMUR
2514;cirebon;PARTAI BERKARYA;FAUZIAH, S.Sos.;Perempuan;JAKARTA SELATAN
2532;cirebon;PDIP;VINDY FARADILAH, S.E.;Perempuan;KOTA DEPOK
2533;cirebon;DEMOKRAT;DR. Ir. E.HERMAN KHAERON, M.Si;Laki-Laki;KOTA BEKASI
2534;cirebon;DEMOKRAT;ANIS KHOIRUNNISA, S.Th.I;Perempuan;INDRAMAYU
2535;cirebon;DEMOKRAT;EKKY BAHTIAR, SE;Laki-Laki;CIREBON
2536;cirebon;DEMOKRAT;DHIANA ANWAR, SH;Perempuan;JAKARTA SELATAN
2537;cirebon;DEMOKRAT;HJ. SYARIFAH LOVITA, SE.;Perempuan;KOTA CIREBON
2538;cirebon;DEMOKRAT;ISMET DJAFAR, M.M.;Laki-Laki;KOTA SERANG
2539;cirebon;DEMOKRAT;FERY FAIRUZABADI MUSTAJAZ;Laki-Laki;SERANG
2540;cirebon;DEMOKRAT;FAIZAH TRI SUSIYATI;Perempuan;JAKARTA SELATAN
2541;cirebon;DEMOKRAT;PARLINDUNGAN MARSINTA;Laki-Laki;KOTA BANDUNG
2545;cirebon;GERINDRA;DR. ANGGAWIRA, MM;Laki-Laki;JAKARTA SELATAN
2551;cirebon;PARTAI GERAKAN PERUBAHAN INDONESIA;R MUHAMMAD ARIEF RAHMAN, S.E;Laki-Laki;KOTA CIREBON
2552;cirebon;PARTAI GERAKAN PERUBAHAN INDONESIA;CHINTIYA KHOIRUNNISA;Perempuan;CIREBON
2553;cirebon;GOLKAR;DAVE AKBARSHAH FIKARNO, M.E.;Laki-Laki;JAKARTA TIMUR
2554;cirebon;GOLKAR;H. DANIEL MUTAQIEN SYAFUDDIN, S.T;Laki-Laki;INDRAMAYU
2555;cirebon;GOLKAR;NOVINDA PUTRI UTAMI, S.IP., M.I.P;Perempuan;INDRAMAYU
2556;cirebon;GOLKAR;BAMBANG HERMANTO, S.E;Laki-Laki;INDRAMAYU
2558;cirebon;GOLKAR;IIS AISAH, S.E.I., M.Si.;Perempuan;CIREBON
2560;cirebon;GOLKAR;Drs. SISWANDI;Laki-Laki;JAKARTA BARAT
2561;cirebon;GOLKAR;YULIANI WAHYUNINGSIH, Amd. Keb;Perempuan;CIREBON
2562;cirebon;HANURA;Drs. SUDIRO ASNO, Ak;Laki-Laki;KOTA BANDUNG
2563;cirebon;HANURA;Dr. ARWANI SYAEROZI, LC,. MA;Laki-Laki;CIREBON
2564;cirebon;HANURA;USWATUN HASANAH;Perempuan;INDRAMAYU
2565;cirebon;HANURA;AMRI, SE;Perempuan;BEKASI
2566;cirebon;HANURA;DRS. HAWELLY E. BACHTIAR;Laki-Laki;JAKARTA SELATAN
2567;cirebon;HANURA;SUTRISNO;Laki-Laki;JAKARTA TIMUR
2568;cirebon;PARTAI KEADILAN DAN PERSATUAN INDONESIA;SUSILO;Laki-Laki;JAKARTA TIMUR
2569;cirebon;PARTAI KEADILAN DAN PERSATUAN INDONESIA;DAHLIA RISUTY;Perempuan;JAKARTA TIMUR
2570;cirebon;PKS;Dr. HJ. NETTY PRASETIYANI, M.Si;Perempuan;KOTA BANDUNG
2572;cirebon;PKS;RADEN BAGUS SURYAMA MAJANA SASTRA;Laki-Laki;KOTA DEPOK
2573;cirebon;PKS;HARISMAN;Laki-Laki;JAKARTA SELATAN
2576;cirebon;PKS;ROBANI HENDRA PERMANA, ST;Laki-Laki;INDRAMAYU
2578;cirebon;PKS;FATHURRAHMAN, SKM;Laki-Laki;KOTA DEPOK
2580;cirebon;PKS;FAJAR SUYITNO;Laki-Laki;CIREBON
2581;cirebon;PKB;H. DEDI WAHIDI, S.Pd;Laki-Laki;INDRAMAYU
2582;cirebon;PKB;Dr. HJ IEMAS MASITHOH M NOOR, SH, MH;Perempuan;KOTA BANDUNG
2583;cirebon;PKB;MARZUKI YAZID;Laki-Laki;KOTA BANDAR LAMPUNG
2584;cirebon;PKB;H. SJAMSUDDIN, SH, MH;Laki-Laki;JAKARTA TIMUR
2585;cirebon;PKB;PUPU SRIWULAN SUMAYA, SH, MH;Perempuan;CIREBON
2586;cirebon;PKB;DRS. H MASYKUR IBNU ILYAS;Laki-Laki;CIREBON
2587;cirebon;PKB;AHMAD ROYANDI, S.H., M.H.;Laki-Laki;JAKARTA UTARA
2588;cirebon;PKB;TUTI ALAWIYAH, M.PD.I;Perempuan;KOTA CIREBON
2589;cirebon;PKB;SHOLEHUDDIN;Laki-Laki;KOTA TANGERANG SELATAN
2590;cirebon;PARTAI NASDEM;Dra. NINING INDRA SHALEH, M.SI;Perempuan;JAKARTA BARAT
2591;cirebon;PARTAI NASDEM;Dr. ONDANG SURJANA, Drs, SH, M.Si, QIA;Laki-Laki;KOTA BANDUNG
2592;cirebon;PARTAI NASDEM;DIANA SASTRA;Perempuan;CIREBON
2593;cirebon;PARTAI NASDEM;RICKIE FERDINANSYAH;Laki-Laki;BANDUNG BARAT
2594;cirebon;PARTAI NASDEM;H. NAHDUDIN ISLAMI;Laki-Laki;INDRAMAYU
2595;cirebon;PARTAI NASDEM;HJ. YAYAH SUNARIAH;Perempuan;CIREBON
2596;cirebon;PARTAI NASDEM;Drs. SUDIMAN BONAPARTE, MM;Laki-Laki;KOTA BANDUNG
2597;cirebon;PARTAI NASDEM;SATORI, S.Pdi, M.M;Laki-Laki;CIREBON
2599;cirebon;PPP;H. JUHADI;Laki-Laki;INDRAMAYU
2600;cirebon;PPP;dr. DIEN ANGGRAINI;Perempuan;KOTA BEKASI
2602;cirebon;PPP;ALI RIDHA, SE, MM;Laki-Laki;JAKARTA BARAT
2603;cirebon;PPP;AMALIA SUDEWI, SH;Perempuan;JAKARTA PUSAT
2604;cirebon;PPP;ANDINI MAHARANI, S.S.T;Perempuan;KOTA TANGERANG
2607;cirebon;PSI;HANPHIE AGUSOEITO;Laki-Laki;KOTA TANGERANG SELATAN
2608;cirebon;PSI;Dr. NINA KURNIA HIKMAWATI, SE MM;Perempuan;KOTA BANDUNG
2609;cirebon;PSI;SAHARA, M.Si.;Laki-Laki;CIREBON
2610;cirebon;PSI;LIDIAWATI;Perempuan;JAKARTA TIMUR
2612;cirebon;PSI;RIKI NURAKHMAD, SH;Laki-Laki;KOTA BEKASI
2613;cirebon;PSI;Ir.. HENDRIK FRANCISCUS N;Laki-Laki;KOTA TANGERANG SELATAN
2616;cirebon;PERINDO;Dr. SUSANINGTYAS NEFO HANDAYANI KERTOPATI, M.Si;Perempuan;JAKARTA SELATAN
2617;cirebon;PERINDO;AYATULLAH, S.Fil.I, M.Ud;Laki-Laki;INDRAMAYU
2620;cirebon;PERINDO;AGUS SUPRIYADI, SE;Laki-Laki;KOTA BEKASI
2623;cirebon;PERINDO;Dr. YUSUP, S.Pd., M.M;Laki-Laki;KOTA BANDUNG
2624;cirebon;PERINDO;DR. DEWI CAHYAWATI ABDULLAH, MM;Perempuan;SIGI
2626;deli-serdang;PAN;AGUS SALIM UJUNG, DRS;Laki-Laki;DELI SERDANG
2638;deli-serdang;PBB;DRS. H. CHAIRUDDIN SIREGAR, M.Pd;Laki-Laki;DELI SERDANG
2644;deli-serdang;PBB;AHMAD FADHLY ROZA, SH;Laki-Laki;KOTA MEDAN
2651;deli-serdang;PDIP;DAME HANNA YUSNITA LUMBAN TOBING, SP, MM, MP;Perempuan;DELI SERDANG
2652;deli-serdang;PDIP;Ir.. SERI KAMILA PARINDURI, MP;Perempuan;KOTA MEDAN
2653;deli-serdang;PDIP;DARMAWANSYAH SEMBIRING, SE;Laki-Laki;KOTA MEDAN
2655;deli-serdang;PDIP;SARTIKA MAGDALENA PURBA, SH;Perempuan;KOTA MEDAN
2656;deli-serdang;PDIP;AKSI BANGUN;Laki-Laki;KOTA MEDAN
2657;deli-serdang;PDIP;RUDY GOLD YANTO SIMBOLON, IR;Laki-Laki;KOTA MEDAN
2658;deli-serdang;PDIP;TETI HAYANI GINTING;Perempuan;DELI SERDANG
2659;deli-serdang;PDIP;ALISMAN SARAGIH, SH;Laki-Laki;DELI SERDANG
2660;deli-serdang;PDIP;KIKI HANDOKO SEMBIRING, SH;Laki-Laki;DELI SERDANG
2661;deli-serdang;DEMOKRAT;H.M. DAHRIL SIREGAR, SE;Laki-Laki;DELI SERDANG
2662;deli-serdang;DEMOKRAT;Ir. Hj. ANITA LUBIS;Perempuan;KOTA MEDAN
2663;deli-serdang;DEMOKRAT;IR. RUDOLF HUTAJULU;Laki-Laki;KOTA MEDAN
2664;deli-serdang;DEMOKRAT;PDT. METIA GINTING, SH;Perempuan;DELI SERDANG
2665;deli-serdang;DEMOKRAT;MUHAMMAD ZAINI;Laki-Laki;KOTA MEDAN
2666;deli-serdang;DEMOKRAT;IKA WAHYU FITRI, S.PSI PSIKOLOG;Perempuan;DELI SERDANG
2667;deli-serdang;DEMOKRAT;SABAM SAGALA;Laki-Laki;DELI SERDANG
2668;deli-serdang;DEMOKRAT;JON FRENGKIDUAN PURBA;Laki-Laki;KOTA MEDAN
2669;deli-serdang;DEMOKRAT;EKA DHARMAYANTO, SE;Laki-Laki;DELI SERDANG
2670;deli-serdang;DEMOKRAT;HJ. JAMILAH, SH, MKN.;Perempuan;KOTA MEDAN
2671;deli-serdang;DEMOKRAT;GENDRO YUDO BUWONO, SE, MM;Laki-Laki;DELI SERDANG
2672;deli-serdang;DEMOKRAT;GOLFRAN SIMANUNGKALIT;Laki-Laki;KOTA MEDAN
2673;deli-serdang;GERINDRA;IR. YANTONI PURBA, MM;Laki-Laki;KOTA MEDAN
2677;deli-serdang;GERINDRA;REKI NELSON J. BARUS, SH;Laki-Laki;https://infopemilu.kpu.go.id/pileg2019/pencalonan/calon/140547
2934;ende;PAN;AGUSTINUS LOBO;Laki-Laki;KOTA KUPANG
2935;ende;PAN;DRS. PAOLUS NONG SUSAR;Laki-Laki;SIKKA
2937;ende;PAN;SEBASTIANUS NURU, S.Sos;Laki-Laki;ENDE
2940;ende;PAN;SUMBA JEKE KALIKTUS, S.Sos;Laki-Laki;ENDE
2941;ende;PAN;FLAVIANUS WARO, S.Psi;Laki-Laki;ENDE
2945;ende;PAN;JESHENIA MONE;Perempuan;ENDE
2950;ende;PARTAI BERKARYA;YOSEPH SENDIRI;Laki-Laki;SIKKA
2957;ende;PBB;SLAMET SURYANATA;Laki-Laki;ENDE
2958;ende;PBB;WIWIK SUMBOGO, S.Pd;Perempuan;ENDE
2959;ende;PDIP;EMANUEL KOLFIDUS, S.Pd;Laki-Laki;KOTA KUPANG
2960;ende;PDIP;PATRIANUS LALI WOLO, S.Pt, MM;Laki-Laki;KOTA KUPANG
2961;ende;PDIP;ROSALIA LOSA;Perempuan;KOTA KUPANG
2962;ende;PDIP;YUSTINUS SANI, SE;Laki-Laki;ENDE
2963;ende;PDIP;AMBROSIUS EDMUNDUS AWANAI, ST;Laki-Laki;KOTA KUPANG
2964;ende;PDIP;SESILIA INGGRIT NAPA, S.Si;Perempuan;KOTA KUPANG
2965;ende;PDIP;ADRIANUS JAGO;Laki-Laki;NAGEKEO
2966;ende;PDIP;YOSEPH WILHELMUS SANGGU, ST;Laki-Laki;JEMBER
2967;ende;PDIP;YULIANA RUSMINA, SH;Perempuan;KOTA KUPANG
2968;ende;PDIP;NURYATI LAHUSA;Perempuan;SIKKA
2969;ende;PDIP;ARNOLDUS NONO, SH;Laki-Laki;NGADA
2970;ende;DEMOKRAT;LEONARDUS LELO, S.IP, M.Si;Laki-Laki;KOTA KUPANG
2971;ende;DEMOKRAT;YOHANES AGUSTINO MASTERIANO, SP.t;Laki-Laki;NGADA
2972;ende;DEMOKRAT;NURJENNAH;Perempuan;KOTA KUPANG
2973;ende;DEMOKRAT;HERMAN ARNOLDUS PINGA PULLU, SE;Laki-Laki;NGADA
2976;ende;DEMOKRAT;MARIA WILFRIDA MERYANTI, S.PD;Perempuan;SIKKA
2977;ende;DEMOKRAT;MARCEL SETU TIBA, S.P;Laki-Laki;KOTA KUPANG
2978;ende;DEMOKRAT;MARIA EDMUNDA ITU JATAMAKU, ST;Perempuan;KOTA KUPANG
2979;ende;DEMOKRAT;ALOYSIUS RIWU, S.PI;Laki-Laki;NAGEKEO
2980;ende;DEMOKRAT;EMERENSIANA SAHA, S.SOS;Perempuan;ENDE
2981;ende;DEMOKRAT;Drs. BENYAMIN MULLA WODON;Laki-Laki;KOTA KUPANG
2982;ende;GERINDRA;KASINTUS PROKLAMASI EBU THO;Laki-Laki;KOTA KUPANG
2983;ende;GERINDRA;AGUSTINA RADE JARA PATTY FERNANDEZ;Perempuan;ENDE
2984;ende;GERINDRA;MARCELINUS LITONG;Laki-Laki;SIKKA
2985;ende;GERINDRA;DRS. LAURENSIUS NAU;Laki-Laki;NGADA
2986;ende;GERINDRA;MARIYATUN;Perempuan;ENDE
2987;ende;GERINDRA;GABRIEL YOSEPH ARIMATEA BHEO DAGHA;Laki-Laki;SIKKA
2988;ende;GERINDRA;MARIA SISILIA TAMU;Perempuan;NAGEKEO
2989;ende;GERINDRA;MUHAMAD SIPRIYADIN PUA RAKE;Laki-Laki;ENDE
2990;ende;GERINDRA;MERY C.A.A.T MARTHEN;Perempuan;ENDE
2991;ende;GERINDRA;AMBROSUS BUSA;Laki-Laki;KOTA KUPANG
2992;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;RATO GREGORIUS, ST;Laki-Laki;KUPANG
2993;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;DON JWR DA SILVA;Laki-Laki;SIKKA
2994;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;GRACE KAUNANG DA SILVA;Perempuan;SIKKA
2995;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;AGUNG HERMANUS RIWU, S.Pd;Laki-Laki;KOTA KUPANG
2996;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;YASINTA WEA;Perempuan;KOTA KUPANG
2997;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;SE NIKOLAUS, ST;Laki-Laki;KOTA KUPANG
2998;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;MARIA MAGDALENA LAWAS;Perempuan;KOTA KUPANG
2999;ende;PARTAI GERAKAN PERUBAHAN INDONESIA;REGINA SERIANI, S.Pd;Perempuan;KOTA KUPANG
3000;ende;GOLKAR;THOMAS TIBA, S.AG;Laki-Laki;NAGEKEO
3001;ende;GOLKAR;DR. JOSEF ALFONSIUS GADI DJOU, S.E.;Laki-Laki;ENDE
