dapil,partai,agama
bekasi,PARTAI GERAKAN PERUBAHAN INDONESIA,-
indramayu,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
sumedang,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-2,PARTAI SIRA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-8,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-4,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-7,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-10,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-4,PARTAI DEMOKRAT,-
kota-bekasi,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
sumba-timur,PARTAI BERKARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-4,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-11,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PERSATUAN INDONESIA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-6,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-1,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-6,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-6,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-7,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-7,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-5,PARTAI KEBANGKITAN BANGSA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-1,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PARTAI HATI NURANI RAKYAT,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-5,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-2,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-6,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-8,PERSATUAN INDONESIA,Islam
asahan,PARTAI NASDEM,Katolik
kota-tebing-tinggi,PARTAI HATI NURANI RAKYAT,-
sumba-barat,PARTAI AMANAT NASIONAL,-
sumba-tengah,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-4,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-13,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-8,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-5,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-2,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI GOLONGAN KARYA,-
aceh-besar,PERSATUAN INDONESIA,Islam
asahan,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
kota-sabang,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
serdang-bedagai,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
serdang-bedagai,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
sumba-barat-daya,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-3,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-4,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-5,PARTAI GERAKAN INDONESIA RAYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-6,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-11,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-5,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-6,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-3,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-1,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-3,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-4,PARTAI PERSATUAN PEMBANGUNAN,Islam
karawang,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
manggarai,PARTAI NASDEM,-
pidie-jaya,PARTAI GERAKAN INDONESIA RAYA,-
purwakarta,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-8,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-5,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-8,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-3,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-9,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-2,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-8,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-5,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-6,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-7,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI GERAKAN PERUBAHAN INDONESIA,-
bireuen,PARTAI DAERAH ACEH,Islam
kota-lhokseumawe,PARTAI BERKARYA,Islam
sumba-barat-daya,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-9,PARTAI GERAKAN INDONESIA RAYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-1,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-10,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-5,PARTAI GOLONGAN KARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-5,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-6,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-8,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-11,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-3,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI HATI NURANI RAKYAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-3,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-3,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-5,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-3,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-6,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-3,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-6,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-7,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-3,PARTAI GERAKAN INDONESIA RAYA,-
sumba-tengah,PARTAI SOLIDARITAS INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-10,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-1,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-5,PARTAI HATI NURANI RAKYAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-10,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-4,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-9,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-10,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-4,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-6,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-7,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-6,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-3,PARTAI PERSATUAN PEMBANGUNAN,Islam
bener-meriah,PARTAI KEADILAN SEJAHTERA,-
bogor,PARTAI DEMOKRAT,-
cianjur,PARTAI BULAN BINTANG,-
rote-ndao,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-4,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-9,PARTAI GERAKAN PERUBAHAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-1,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-11,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-2,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI BULAN BINTANG,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-4,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-3,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-4,PARTAI BULAN BINTANG,Islam
indramayu,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
indramayu,PARTAI NASDEM,Islam
kota-kupang,PARTAI GERAKAN INDONESIA RAYA,Katolik
kota-sukabumi,PARTAI PERSATUAN PEMBANGUNAN,Islam
manggarai,PARTAI NASDEM,Islam
manggarai-barat,PARTAI KEBANGKITAN BANGSA,Islam
serdang-bedagai,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-8,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-3,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-4,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-4,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-1,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI HATI NURANI RAKYAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-4,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-5,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-1,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-1,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-4,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-3,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-5,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-5,PARTAI GOLONGAN KARYA,Islam
bekasi,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
sumedang,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-6,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-4,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-7,PARTAI NASDEM,-
purwakarta,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
sabu-raijua,PARTAI SOLIDARITAS INDONESIA,Islam
serdang-bedagai,PARTAI KEBANGKITAN BANGSA,Islam
serdang-bedagai,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Budha
sumba-timur,PARTAI HATI NURANI RAKYAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-2,PARTAI GOLONGAN KARYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-6,PARTAI BERKARYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-7,PARTAI GERAKAN INDONESIA RAYA,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-4,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-8,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-12,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-2,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-1,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-tengah-2,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-4,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-6,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-5,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-1,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-8,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-4,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-4,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-5,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-3,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-5,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-3,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-1,PARTAI SOLIDARITAS INDONESIA,Islam
bandung-barat,PARTAI GERAKAN INDONESIA RAYA,-
wajo,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-8,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-10,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-12,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-3,PARTAI AMANAT NASIONAL,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-9,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-6,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
aceh-besar,PARTAI NASDEM,Islam
bireuen,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
serdang-bedagai,PARTAI BERKARYA,Kristen Protestan
sukabumi,PARTAI GOLONGAN KARYA,Islam
sumedang,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-1,PARTAI DAERAH ACEH,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-5,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-1,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-3,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-3,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-2,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-3,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-7,PARTAI BERKARYA,Islam
